Judul Ads,Grade Score - V3,Ad Spend,Impressions,3s View,50% View,Link Click,LP View,Conversions,Campaign Conversions,Revenue,Hook Quality,Content Quality,Clickability,LP Match Rate,RoAS CC,Ads Grade - V3,Hook Grade,Content Grade,Video Clickability Grade,LP Match Grade (REVISI),Offer Quality Grade,Reported V3
Talent - Jessica - Mau Beli mGanik - Multigrain,88.3870967742%,"IDR 5,192,787.00","73,101","17,222","5,013","1,124",691,137,155,"IDR 1,974,000.00",23.5591852369%,29.1081175241%,1.5375986649%,19.8263386397%,38.0142686384%,🟩🟩🟩 S,🟡 Neutral,🟢🟢 Very Good,🔴🔴 Very Bad,🟢 Good,🟢🟢 Very Good,Reported
Dewi Yull - IG Reels 5 - Journey Pak Yanto - Metafiber,85.1145038168%,"IDR 37,448,971.00","1,680,473","473,708","51,338","14,550","7,559",446,524,"IDR 4,681,000.00",28.188968225%,10.83747794%,0.8658276569%,5.900251356%,12.4996758923%,🟩🟩🟩 S,🟡 Neutral,🟢 Good,🔴🔴 Very Bad,🔴 Bad,🟡 Neutral,Reported
Talent - Jessica - Mau Beli mGanik - Metafiber,72.2741433022%,"IDR 9,271,667.00","126,043","33,064","10,501","2,256","1,412",232,321,"IDR 2,082,000.00",26.2323175424%,31.7596177111%,1.7898653634%,16.4305949008%,22.4555088098%,🟩🟩🟩 S,🟡 Neutral,🟢🟢 Very Good,🔴🔴 Very Bad,🟢 Good,🟢 Good,Reported
BOFU 75 - VID - Mau order produk mGanik di mana sih? - 3Peptide,63.0769230769%,"IDR 5,375,017.00","123,429","22,715","6,200","1,529",973,123,195,"IDR 928,000.00",18.4032925812%,27.2947391591%,1.2387688469%,12.641315519%,17.2650616733%,🟩🟩🟩 S,🔴 Bad,🟢🟢 Very Good,🔴🔴 Very Bad,🟢 Good,🟡 Neutral,Reported
Talent - Nunu - Alasan Kenapa Diabetesi Harus Minum mGanik - Multigrain,51.1363636364%,"IDR 4,653,607.00","63,646","21,770","2,573","1,199",644,45,88,"IDR 79,000.00",34.2048204129%,11.8190169959%,1.8838575873%,6.9875776398%,1.6976078986%,🟩🟩🟩 S,🟢 Good,🟡 Neutral,🔴🔴 Very Bad,🟡 Neutral,🔴🔴 Very Bad,Reported
Talent - Jessica - Ilmiahnya Cara Kerja mGanik 3Peptide - 3Peptide,48.8764044944%,"IDR 7,736,254.00","128,555","34,558","5,915","2,474","1,387",87,178,"IDR 5,074,000.00",26.8818793513%,17.1161525551%,1.9244681265%,6.2725306417%,65.5872984522%,🟩🟩🟩 S,🟡 Neutral,🟢 Good,🔴🔴 Very Bad,🔴 Bad,🟢🟢 Very Good,Reported
Pufi - Lydia Kandou & Naysila Mirdad - Jaga Tekanan Darah - 3Peptide,43.2038834951%,"IDR 12,642,839.00","371,389","131,009","25,276","6,120","2,791",89,206,"IDR 649,000.00",35.2754120343%,19.2933309925%,1.647867869%,3.188821211%,5.1333406998%,🟩🟩🟩 S,🟢 Good,🟢 Good,🔴🔴 Very Bad,🔴🔴 Very Bad,🔴🔴 Very Bad,Reported
ToFU - KOL Expert - Maria Ana - M3P,41.8530351438%,"IDR 11,337,054.00","210,218","71,153","14,437","3,980","1,969",131,313,"IDR 350,000.00",33.8472442893%,20.2900791253%,1.8932726979%,6.6531234129%,3.0872217774%,🟩🟩🟩 S,🟢 Good,🟢 Good,🔴🔴 Very Bad,🟡 Neutral,🔴🔴 Very Bad,Reported
KOL User - Animasi Dolewak - Superfood,38.8888888889%,"IDR 6,501,923.00","191,570","63,623","16,664","2,671","1,413",63,162,"IDR 2,471,000.00",33.2113587723%,26.1917859893%,1.3942684136%,4.4585987261%,38.0041412364%,🟩🟩🟩 S,🟢 Good,🟢 Good,🔴🔴 Very Bad,🔴 Bad,🟢 Good,Reported
KOL User - Devi Ayu (@katalog_menudiet) - Superfood,33.950617284%,"IDR 9,112,982.00","204,882","94,784","19,360","3,901","1,607",55,162,"IDR 1,465,000.00",46.2627268379%,20.4253882512%,1.9040228034%,3.4225264468%,16.07596723%,🟩🟩🟩 S,🟢🟢 Very Good,🟢 Good,🔴🔴 Very Bad,🔴 Bad,🔴 Bad,Reported
